time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-19_09-21, 029, 05, practice, control, green, green, 0, 1.46431352292
2015-11-19_09-21, 029, 05, practice, control, blue, blue, 0, 0.99687242326
2015-11-19_09-21, 029, 05, practice, control, red, red, 0, 1.06956237266
2015-11-19_09-21, 029, 05, practice, control, green, green, 0, 1.15502893602
2015-11-19_09-21, 029, 05, practice, control, blue, blue, 0, 0.809342171971
2015-11-19_09-21, 029, 05, practice, control, red, red, 0, 1.09082369597
2015-11-19_09-21, 029, 05, practice, control, black, black, 0, 0.84638448073
2015-11-19_09-21, 029, 05, practice, control, green, green, 0, 0.891948613463
2015-11-19_09-21, 029, 05, practice, control, black, black, 0, 1.08068298562
2015-11-19_09-21, 029, 05, practice, control, blue, blue, 0, 0.777802775944
2015-11-19_09-21, 029, 05, practice, control, red, red, 0, 0.997841612382
2015-11-19_09-21, 029, 05, practice, control, black, black, 0, 0.851263714715
2015-11-19_09-21, 029, 05, practice, control, green, green, 0, 0.85588812045
2015-11-19_09-21, 029, 05, practice, control, green, green, 0, 0.65768454482
2015-11-19_09-21, 029, 05, practice, control, black, black, 0, 0.851249940215
2015-11-19_09-21, 029, 05, practice, control, red, red, 0, 0.745270468046
2015-11-19_09-21, 029, 05, practice, control, red, red, 0, 0.821804268182
2015-11-19_09-21, 029, 05, practice, control, blue, blue, 0, 0.936773897323
2015-11-19_09-21, 029, 05, practice, control, black, black, 0, 1.11523937976
2015-11-19_09-21, 029, 05, practice, control, blue, blue, 0, 0.90552720942
2015-11-19_09-21, 029, 05, practice, control, blue, blue, 0, 0.734714609579
2015-11-19_09-21, 029, 05, practice, control, red, red, 0, 0.890109335093
2015-11-19_09-21, 029, 05, practice, control, green, green, 0, 1.11518542964
2015-11-19_09-21, 029, 05, practice, incompatible, blue, blue, 0, 1.59780488038
2015-11-19_09-21, 029, 05, practice, compatible, blue, blue, 0, 1.34961747066
2015-11-19_09-21, 029, 05, practice, compatible, green, green, 0, 1.39364383352
2015-11-19_09-21, 029, 05, practice, compatible, green, green, 0, 1.04432863661
2015-11-19_09-21, 029, 05, practice, compatible, black, black, 0, 1.66707454492
2015-11-19_09-21, 029, 05, practice, incompatible, green, green, 0, 1.64139390287
2015-11-19_09-21, 029, 05, practice, incompatible, red, red, 0, 1.65975913756
2015-11-19_09-21, 029, 05, practice, incompatible, green, green, 0, 1.88563109211
2015-11-19_09-21, 029, 05, practice, incompatible, black, black, 0, 1.39589596426
2015-11-19_09-21, 029, 05, practice, compatible, red, red, 0, 1.12438870874
2015-11-19_09-21, 029, 05, practice, incompatible, black, black, 0, 1.11669488526
2015-11-19_09-21, 029, 05, practice, incompatible, blue, blue, 0, 1.85188394984
2015-11-19_09-21, 029, 05, practice, compatible, red, red, 0, 1.50788494466
2015-11-19_09-21, 029, 05, practice, compatible, green, green, 0, 1.31797935738
2015-11-19_09-21, 029, 05, practice, compatible, black, black, 0, 1.00752814685
2015-11-19_09-21, 029, 05, practice, compatible, blue, blue, 0, 1.50931251853
2015-11-19_09-21, 029, 05, practice, incompatible, black, black, 0, 1.31701705551
2015-11-19_09-21, 029, 05, practice, incompatible, red, red, 0, 1.08541299586
2015-11-19_09-21, 029, 05, practice, compatible, blue, blue, 0, 0.780612008685
2015-11-19_09-21, 029, 05, practice, compatible, black, black, 0, 1.15218679752
